"","Sample","NumA","NumB","Filter","NumTotal","PercentB"
"325",381,475064,19093,"134",494157,0.038637518035766
"326",418,220618,8302,"134",228920,0.036265944434737
"327",262,133045,4952,"134",137997,0.0358848380761901
"328",417,195064,6405,"134",201469,0.0317914914949695
"329",264,230065,7425,"134",237490,0.0312644742936545
"330",265,198701,6322,"135",205023,0.0308355647902918
"331",173,190479,5973,"135",196452,0.0304043735874412
"332",245,373304,11299,"135",384603,0.0293783459827406
"333",366,337194,9944,"135",347138,0.0286456682933012
"334",412,443754,12673,"135",456427,0.0277656667988528
"335",86,236181,6232,"135",242413,0.0257081922174141
"336",261,404017,10502,"135",414519,0.0253353887276578
"337",270,248514,6038,"135",254552,0.0237201043401741
"338",246,138277,3057,"135",141334,0.0216296149546464
"339",93,26787,582,"135",27369,0.0212649347802258
"340",257,326165,6661,"136",332826,0.020013460486861
"341",250,283335,5648,"136",288983,0.0195444022658772
"342",67,276207,4636,"136",280843,0.016507443660693
"343",58,166061,2715,"136",168776,0.0160864103901029
"344",253,177674,2877,"136",180551,0.0159345558872562
"345",178,349648,5560,"136",355208,0.0156528006125988
"346",263,189714,2962,"136",192676,0.0153729577113911
"347",49,273724,3785,"136",277509,0.0136391972872952
"348",255,324910,4234,"136",329144,0.0128636706122548
"349",91,125130,1540,"136",126670,0.0121575748006631
"350",41,229867,2735,"137",232602,0.0117582823879416
"351",19,95144,1011,"137",96155,0.0105142738287141
"352",89,367661,3785,"137",371446,0.0101899064736193
"353",252,374024,3658,"137",377682,0.00968539670940103
"354",59,221711,2116,"137",223827,0.00945372988960224
"355",78,161622,1503,"137",163125,0.00921379310344828
"356",21,187878,1657,"137",189535,0.00874244862426465
"357",26,242668,1809,"137",244477,0.00739946907071013
"358",251,497565,3530,"137",501095,0.00704457238647362
"359",92,239042,1605,"137",240647,0.00666952008543634
"360",81,263218,1445,"137",264663,0.00545977337217518
"361",52,419737,2222,"138",421959,0.00526591446088364
"362",45,135727,664,"138",136391,0.00486835641647909
"363",55,321078,1168,"138",322246,0.00362456011866711
"364",63,313437,1104,"138",314541,0.00350987629593598
"365",87,298696,1014,"138",299710,0.00338327049481165
"366",46,322046,1004,"138",323050,0.0031078780374555
"367",70,314382,854,"138",315236,0.00270908145008819
"368",44,630217,1171,"138",631388,0.00185464405405234
"369",69,248584,428,"138",249012,0.00171879266862641
"370",57,335910,382,"138",336292,0.00113591759542303
"371",2,186188,0,"139",186188,0
"372",3,426103,0,"140",426103,0
"373",4,127795,0,"140",127795,0
"375",9,170622,0,"140",170622,0
"376",10,35656,0,"140",35656,0
"377",12,166562,0,"140",166562,0
"379",14,46193,0,"140",46193,0
"380",15,81847,0,"140",81847,0
"381",16,96007,0,"140",96007,0
"383",23,143285,0,"140",143285,0
"384",24,231953,0,"140",231953,0
"385",25,320112,0,"141",320112,0
"386",27,179042,0,"141",179042,0
"387",28,50256,0,"141",50256,0
"388",29,29143,0,"141",29143,0
"389",30,149453,0,"141",149453,0
"390",32,54185,0,"141",54185,0
"391",33,45366,0,"141",45366,0
"392",34,106355,0,"141",106355,0
"393",35,40829,0,"141",40829,0
"394",36,29407,0,"141",29407,0
"395",37,131305,0,"139",131305,0
"396",38,155887,0,"142",155887,0
"397",39,101049,0,"142",101049,0
"398",40,43233,0,"142",43233,0
"399",42,208128,0,"142",208128,0
"400",43,145458,0,"139",145458,0
"401",47,277040,0,"142",277040,0
"402",48,71262,0,"142",71262,0
"403",50,144585,0,"142",144585,0
"404",51,595179,0,"142",595179,0
"405",53,124754,0,"142",124754,0
"406",54,394022,0,"142",394022,0
"407",56,452548,0,"143",452548,0
"408",60,257729,0,"143",257729,0
"409",62,482084,0,"143",482084,0
"410",64,116058,0,"143",116058,0
"411",65,139875,0,"143",139875,0
"412",66,153558,0,"139",153558,0
"413",68,145897,0,"143",145897,0
"414",71,244870,0,"143",244870,0
"415",72,189582,0,"143",189582,0
"416",74,61674,0,"143",61674,0
"420",174,114176,0,"143",114176,0
"421",175,122945,0,"144",122945,0
"422",177,100154,0,"144",100154,0
"423",179,21770,0,"144",21770,0
"424",180,187277,0,"144",187277,0
"425",181,40520,0,"144",40520,0
"426",182,163519,0,"144",163519,0
"427",184,118967,0,"144",118967,0
"428",185,144827,0,"144",144827,0
"429",186,176309,0,"144",176309,0
"430",187,324910,0,"144",324910,0
"431",188,206514,0,"139",206514,0
"432",189,251891,0,"145",251891,0
"433",190,342275,0,"145",342275,0
"434",191,86544,0,"145",86544,0
"435",192,139079,0,"145",139079,0
"436",193,162592,0,"139",162592,0
"437",194,264842,0,"145",264842,0
"438",195,475979,0,"145",475979,0
"439",197,182537,0,"145",182537,0
"440",198,279536,0,"145",279536,0
"441",199,374746,0,"139",374746,0
"442",200,281700,0,"139",281700,0
"443",201,123883,0,"145",123883,0
"444",202,252864,0,"145",252864,0
"445",203,423972,0,"146",423972,0
"446",204,332516,0,"146",332516,0
"447",205,321172,0,"146",321172,0
"448",258,156743,0,"146",156743,0
"449",267,157045,0,"146",157045,0
"450",278,161566,0,"146",161566,0
"451",285,203367,0,"146",203367,0
"456",321,120517,0,"146",120517,0
"457",322,157129,0,"146",157129,0
"458",323,151254,0,"146",151254,0
"459",325,134323,0,"147",134323,0
"460",326,111510,0,"147",111510,0
"461",328,146885,0,"147",146885,0
"462",329,68448,0,"147",68448,0
"463",330,176934,0,"147",176934,0
"464",331,137107,0,"147",137107,0
"465",333,103631,0,"147",103631,0
"466",334,81251,0,"147",81251,0
"467",335,99464,0,"147",99464,0
"468",336,208192,0,"147",208192,0
"469",337,182197,0,"148",182197,0
"470",338,149491,0,"148",149491,0
"471",339,144324,0,"148",144324,0
"472",341,120871,0,"148",120871,0
"473",342,147965,0,"148",147965,0
"474",343,56326,0,"148",56326,0
"475",344,126861,0,"148",126861,0
"476",345,109245,0,"148",109245,0
"477",347,144113,0,"148",144113,0
"478",348,162516,0,"148",162516,0
"479",349,124102,0,"149",124102,0
"480",350,187617,0,"149",187617,0
"481",351,116522,0,"149",116522,0
"482",352,97159,0,"149",97159,0
"483",353,110210,0,"149",110210,0
"484",354,146026,0,"149",146026,0
"485",355,223693,0,"149",223693,0
"486",357,283223,0,"149",283223,0
"487",358,86410,0,"149",86410,0
"488",359,41041,0,"149",41041,0
"489",360,75400,0,"150",75400,0
"490",361,247635,0,"150",247635,0
"491",364,129084,0,"150",129084,0
"492",365,188527,0,"150",188527,0
"493",367,43445,0,"150",43445,0
"494",368,233958,0,"150",233958,0
"495",369,121954,0,"150",121954,0
"496",370,31426,0,"150",31426,0
"497",371,115001,0,"150",115001,0
"498",372,36017,0,"150",36017,0
"499",373,253808,0,"151",253808,0
"500",374,84456,0,"151",84456,0
"501",375,223139,0,"151",223139,0
"502",376,67287,0,"151",67287,0
"503",377,112416,0,"151",112416,0
"504",378,230440,0,"151",230440,0
"505",384,378488,0,"151",378488,0
"506",385,64176,0,"151",64176,0
"507",386,150486,0,"151",150486,0
"508",387,129574,0,"151",129574,0
"509",390,118539,0,"152",118539,0
"511",395,118989,0,"152",118989,0
"512",399,134067,0,"152",134067,0
"513",401,100341,0,"152",100341,0
"514",402,442077,0,"152",442077,0
"515",403,78295,0,"152",78295,0
"516",405,218953,0,"139",218953,0
"517",408,101488,0,"152",101488,0
"518",409,45379,0,"152",45379,0
"519",413,88551,0,"152",88551,0
"520",425,177440,0,"152",177440,0
"521",426,9639,0,"153",9639,0
"522",499,71925,0,"153",71925,0
"523",500,24021,0,"153",24021,0
"524",501,68233,0,"153",68233,0
"526",503,51017,0,"153",51017,0
"527",504,81971,0,"153",81971,0
"528",505,39049,0,"153",39049,0
"529",506,77009,0,"153",77009,0
"530",508,7053,0,"153",7053,0
"531",509,84736,0,"153",84736,0
"532",511,203118,0,"154",203118,0
"533",512,64984,0,"154",64984,0
"534",513,9962,0,"154",9962,0
"535",515,91973,0,"154",91973,0
"536",516,23373,0,"154",23373,0
"537",518,143234,0,"154",143234,0
"538",519,26586,0,"154",26586,0
"539",520,303621,0,"154",303621,0
"540",522,191568,0,"154",191568,0
"541",523,392828,0,"154",392828,0
"542",524,25221,0,"155",25221,0
"544",527,20872,0,"155",20872,0
"545",529,14690,0,"155",14690,0
"546",530,48683,0,"155",48683,0
"547",531,220897,0,"155",220897,0
"548",532,56136,0,"155",56136,0
"549",533,11532,0,"155",11532,0
"550",534,79142,0,"155",79142,0
"551",535,188233,0,"155",188233,0
"552",536,505278,0,"155",505278,0
"553",537,166782,0,"156",166782,0
"554",539,210700,0,"156",210700,0
"555",540,229089,0,"156",229089,0
"556",541,134769,0,"156",134769,0
"557",544,262749,0,"156",262749,0
"558",545,176966,0,"156",176966,0
"559",546,102269,0,"156",102269,0
"560",548,84832,0,"156",84832,0
"561",549,117924,0,"156",117924,0
"562",550,173226,0,"156",173226,0
"563",552,127533,0,"157",127533,0
"564",553,86202,0,"157",86202,0
"565",554,131921,0,"157",131921,0
"566",555,210325,0,"157",210325,0
"567",556,257195,0,"157",257195,0
"568",557,182729,0,"157",182729,0
"569",564,293413,0,"157",293413,0
"570",565,78161,0,"157",78161,0
"571",566,144459,0,"157",144459,0
"572",567,216788,0,"157",216788,0
"573",568,174153,0,"158",174153,0
"574",569,269860,0,"158",269860,0
"575",570,176337,0,"158",176337,0
"577",572,142670,0,"158",142670,0
"578",573,68880,0,"158",68880,0
"579",574,217561,0,"158",217561,0
"580",575,187341,0,"158",187341,0
"581",576,153201,0,"158",153201,0
"582",577,204055,0,"158",204055,0
"583",578,280640,0,"159",280640,0
"584",579,207351,0,"159",207351,0
"585",580,31302,0,"159",31302,0
"586",581,151034,0,"159",151034,0
"587",582,102634,0,"159",102634,0
"588",583,149696,0,"159",149696,0
"589",584,273244,0,"159",273244,0
"590",585,198324,0,"159",198324,0
"591",586,208832,0,"159",208832,0
"592",587,154296,0,"159",154296,0
"593",588,445049,0,"160",445049,0
"594",589,40305,0,"160",40305,0
"595",590,404975,0,"160",404975,0
"596",591,372467,0,"160",372467,0
"597",592,221469,0,"160",221469,0
"598",593,214485,0,"160",214485,0
"599",594,62122,0,"160",62122,0
"600",595,383230,0,"160",383230,0
"601",596,480458,0,"160",480458,0
"602",597,153747,0,"160",153747,0
"605",616,67185,0,"158",67185,0
